"左:A週 右:B週","1・2","3・4","5・6","B週1・2","3・4","5・6"
"国文①","国語","英語","現代社会","英語","日本史・世界史・地理","倫理"
"火","国語","日本史・世界史・地理","","生基化基","日本史・世界史・地理","現代社会"
"水","数学","生基化基","","英語","数学","LHR"
"木","生基化基","英語","倫理","国語","生基化基","現代社会・倫理"
"金","数学","日本史・世界史・地理","現代社会・倫理","数学","国語",""
"国文②","数学","英語","現代社会","数学","日本史・世界史・地理","倫理"
"","英語","日本史・世界史・地理","","国語","日本史・世界史・地理","現代社会"
"","生基化基","国語","LHR","生基化基","英語","LHR"
"","数学","国語","倫理","生基化基","英語","現代社会・倫理"
"","生基化基","日本史・世界史・地理","現代社会・倫理","国語","数学",""
"私文①","日本史","総合英語","現代社会","総合国語","英語","倫理"
"","国語","日本史・世界史・地理","","総合英語","国語","現代社会"
"","総合英語","総合国語","LHR","日本史","総合英語","LHR"
"","日本史","英語","倫理","日本史","国語","現代社会・倫理"
"","国語","英語","現代社会・倫理","総合国語","英語",""
"私文②","総英・素描・ソルフェージュ","数学・世界史・地理","現代社会","英語","国語","倫理"
"","総国・素描・ソルフェージュ","総合国語","","総英・素描・ソルフェージュ","総国・素描・ソルフェージュ","現代社会"
"","国語","数学・世界史・地理","LHR","英語","国語","LHR"
"","英語","総国・素描・ソルフェージュ","倫理","総英・素描・ソルフェージュ","数学・世界史・地理","現代社会・倫理"
"","国語","総英・素描・ソルフェージュ","現代社会・倫理","数学・世界史・地理","総国・素描・ソルフェージュ",""
"国理①","化学","数学","","化学","英語","生物・物理・化学"
"","地理","英語","","数学","国語","生物・物理・化学"
"","化学","数学","LHR","国語","地理","LHR"
"","国語","英語","物理","数学","化学",""
"","地理","国語","生物・化学","英語","地理",""
"国理②","数学","国語","","国語","物理・生物","生物・物理・化学"
"","英語","物理・生物","生物・物理・化学","地理","英語","生物・物理・化学"
"","地理","英語","LHR","数学","国語","LHR"
"","国語","地理","物理","地理","英語",""
"","物理・生物","数学","生物・化学","物理・生物","数学",""
"私理","英語","生物②・化学②・物理②","","数学","私理化学・私理生物","生物・物理・化学"
"","英語","私理化学・私理生物","生物・物理・化学","生物②・物理②・化学②","英語","生物・物理・化学"
"","数学②","生物②・化学②・物理②","LHR","生物②・物理②・化学②","数学②","LHR"
"","数学","数学②","物理","英語","数学②",""
"","私理化学・私理生物","数学","生物・化学","私理化学・私理生物","数学",""
